close,start,high,low,volume,transactionPrice,capitalization
81000,77400,81300,77300,29417421,2.34E+12,4.84E+14
78300,78800,78900,77300,30339449,2.37E+12,4.67E+14
78700,79000,80100,78200,40085044,3.17E+12,4.70E+14
77800,74100,78800,74000,32502870,2.49E+12,4.64E+14
73900,72400,74000,72300,19411326,1.42E+12,4.41E+14
72300,72500,73200,72100,16304910,1.18E+12,4.32E+14
73000,73100,73400,72000,20367355,1.48E+12,4.36E+14
73000,73300,73700,73000,17613029,1.29E+12,4.36E+14
73300,73400,73700,72600,24293214,1.78E+12,4.38E+14
73800,74100,74500,73400,17512081,1.29E+12,4.41E+14
73800,73800,74100,73300,20863671,1.54E+12,4.41E+14
73800,73600,74500,73200,21510415,1.59E+12,4.41E+14
73400,73500,73800,73100,18486672,1.36E+12,4.38E+14
72900,72700,73800,72500,39882928,2.92E+12,4.35E+14
73900,72100,73900,72000,24077996,1.76E+12,4.41E+14
71700,72200,72900,71600,25000338,1.80E+12,4.28E+14
72900,72400,73500,71900,28490496,2.07E+12,4.35E+14
71500,70400,72100,70100,28130533,2.01E+12,4.27E+14
69700,70100,70500,69300,23677989,1.65E+12,4.16E+14
69500,68400,69900,68300,29703942,2.06E+12,4.15E+14
67800,67100,68300,67100,22327173,1.51E+12,4.05E+14
66700,68400,68600,66700,43811016,2.95E+12,3.98E+14
68200,68000,68400,67600,14063434,9.57E+11,4.07E+14
68000,66100,68000,66000,19023323,1.28E+12,4.06E+14
66600,67900,68300,66500,32447065,2.19E+12,3.98E+14
67700,67900,69500,67000,32158235,2.19E+12,4.04E+14
67500,64800,67800,64700,27134398,1.81E+12,4.03E+14
64700,63900,65200,63900,15068682,9.73E+11,3.86E+14
64600,64100,64800,63900,16590290,1.07E+12,3.86E+14
64800,65700,66200,64700,22963790,1.50E+12,3.87E+14
65700,67000,67000,65600,30204089,2.00E+12,3.92E+14
66300,64000,66700,63900,36354334,2.38E+12,3.96E+14
63200,61300,63200,61000,31508829,1.96E+12,3.77E+14
61000,61000,61400,60700,19800573,1.21E+12,3.64E+14
61300,60700,61400,60400,25628510,1.56E+12,3.66E+14
60200,60500,60500,59500,19073552,1.14E+12,3.59E+14
60200,60700,60900,60100,15892961,9.62E+11,3.59E+14
60100,60700,60800,59600,16910230,1.02E+12,3.59E+14
60300,59000,60300,58800,20639475,1.23E+12,3.60E+14
58500,58900,59000,57800,21718561,1.27E+12,3.49E+14
58800,57900,58900,57600,14950919,8.74E+11,3.51E+14
57400,56400,57500,56000,20489076,1.17E+12,3.43E+14
56600,58000,58000,56600,26907844,1.54E+12,3.38E+14
58100,58200,58500,57500,22636966,1.31E+12,3.47E+14
59000,59400,59400,58800,14428882,8.52E+11,3.52E+14
59800,60300,60300,59500,17260416,1.03E+12,3.57E+14
60400,60400,61100,60100,13268226,8.03E+11,3.61E+14
60200,60400,60400,59800,9322232,5.60E+11,3.59E+14
60100,60300,60500,59800,14294095,8.58E+11,3.59E+14
60900,61200,61500,60600,15703443,9.59E+11,3.64E+14
60900,60300,60900,60100,19326115,1.17E+12,3.64E+14
60000,59600,60200,59500,14474985,8.67E+11,3.58E+14
59500,60000,60400,59000,16554190,9.88E+11,3.55E+14
60000,60700,60800,59700,17756232,1.07E+12,3.58E+14
60900,61000,61100,60500,16086716,9.78E+11,3.64E+14
60900,61000,61400,60400,19247631,1.17E+12,3.64E+14
60400,60000,60400,59900,16145837,9.72E+11,3.61E+14
59700,60500,60700,59500,24589924,1.47E+12,3.56E+14
59900,58700,59900,58500,14861838,8.81E+11,3.58E+14
59000,59400,59900,58700,14463826,8.57E+11,3.52E+14
58700,57500,59200,57500,20228289,1.18E+12,3.50E+14
58200,58300,59000,58200,15503563,9.06E+11,3.47E+14
58200,58300,58800,57900,12614080,7.36E+11,3.47E+14
57900,57700,58200,57700,11444683,6.63E+11,3.46E+14
57800,57700,58600,57600,17564020,1.02E+12,3.45E+14
58600,58400,58800,57400,20111398,1.17E+12,3.50E+14
58200,59100,59700,57800,20830381,1.22E+12,3.47E+14
59200,59100,60000,59000,15140387,9.01E+11,3.53E+14
59300,59800,59900,59100,18884571,1.12E+12,3.54E+14
59500,60700,60800,59300,25108356,1.50E+12,3.55E+14
61000,61100,61300,60600,17041444,1.04E+12,3.64E+14
61000,60900,61000,60500,17877075,1.09E+12,3.64E+14
60400,60200,60800,59900,20648281,1.25E+12,3.61E+14
59000,59300,59400,58200,16017098,9.43E+11,3.52E+14
59200,59900,60000,59100,29923293,1.78E+12,3.53E+14
58400,58200,59300,57800,30597399,1.79E+12,3.49E+14
58700,57400,58700,57200,31517520,1.83E+12,3.50E+14
56500,56100,57300,55800,18685880,1.06E+12,3.37E+14
55600,55200,55800,55100,22139109,1.23E+12,3.32E+14
56400,55600,56700,55500,28384920,1.60E+12,3.37E+14
54400,54600,55100,54100,16905723,9.22E+11,3.25E+14
54200,54100,54800,54100,19363117,1.05E+12,3.24E+14
54000,56000,56100,54000,32671367,1.79E+12,3.22E+14
55400,56100,56300,55400,14619888,8.16E+11,3.31E+14
55600,56300,56300,55600,16196568,9.04E+11,3.32E+14
56400,56400,56500,55700,17651593,9.90E+11,3.37E+14
56400,56400,56800,56100,14021705,7.91E+11,3.37E+14
56100,55800,56600,55400,15055896,8.44E+11,3.35E+14
55900,56200,56900,55800,21142288,1.19E+12,3.34E+14
55400,57600,57600,55300,30386029,1.71E+12,3.31E+14
57800,59000,59200,57800,16930719,9.89E+11,3.45E+14
58400,58900,59900,58000,25307825,1.49E+12,3.49E+14
58000,58000,58400,57700,15672548,9.09E+11,3.46E+14
58700,59400,59600,58000,22089460,1.30E+12,3.50E+14
59000,58200,59000,57700,18573934,1.08E+12,3.52E+14
58200,58000,59500,57800,24907912,1.46E+12,3.47E+14
57800,57600,58300,57500,17774291,1.03E+12,3.45E+14
57500,57900,58400,57100,18751717,1.08E+12,3.43E+14
58000,57100,58400,57100,21625874,1.25E+12,3.46E+14
56900,57300,57500,56300,17739706,1.01E+12,3.40E+14
57300,57200,58100,57000,19419694,1.12E+12,3.42E+14
56800,57800,57900,56700,21158940,1.21E+12,3.39E+14
57900,59500,59600,57700,21943345,1.28E+12,3.46E+14
59000,59700,60100,59000,19285354,1.15E+12,3.52E+14
59000,60300,60400,58600,36476611,2.17E+12,3.52E+14
58600,57000,58800,56400,48431566,2.80E+12,3.50E+14
55600,54300,55700,54300,21054421,1.17E+12,3.32E+14
54200,54000,54400,53700,10994535,5.95E+11,3.24E+14
54100,54700,54700,53800,16214932,8.76E+11,3.23E+14
54700,55300,55500,54700,12885057,7.09E+11,3.27E+14
55300,55200,55400,54800,18297260,1.01E+12,3.30E+14
54200,54800,54800,54000,10507530,5.71E+11,3.24E+14
54400,54200,54700,54100,10096174,5.49E+11,3.25E+14
53800,54800,54800,53800,16779127,9.09E+11,3.21E+14
54700,54400,55000,54300,24051450,1.32E+12,3.27E+14
53800,53700,53800,53200,14269484,7.64E+11,3.21E+14
53400,53300,53800,53100,12240188,6.55E+11,3.19E+14
52700,53100,53200,52300,13714746,7.22E+11,3.15E+14
52800,53200,53600,52800,17054850,9.07E+11,3.15E+14
53000,53600,53900,52900,19664652,1.05E+12,3.16E+14
53400,55800,55900,53400,30760032,1.67E+12,3.19E+14
55000,54000,55000,53800,19856623,1.08E+12,3.28E+14
53600,53000,53600,52700,11887868,6.33E+11,3.20E+14
52900,52100,52900,52100,14142583,7.43E+11,3.16E+14
52600,53400,53600,52400,16706143,8.84E+11,3.14E+14
52800,53900,53900,52800,21157172,1.13E+12,3.15E+14
52400,52500,53200,52000,17776925,9.35E+11,3.13E+14
53300,52800,53900,52200,21575360,1.15E+12,3.18E+14
51900,52100,53000,51900,18541624,9.70E+11,3.10E+14
52900,51900,53900,51600,24519552,1.30E+12,3.16E+14
51400,52500,52800,51100,18086152,9.37E+11,3.07E+14
52000,52000,52600,51800,13801350,7.21E+11,3.10E+14
52900,52600,52900,51600,18157985,9.50E+11,3.16E+14
52300,52200,52300,51600,15982926,8.31E+11,3.12E+14
52200,52100,52900,51300,26672595,1.39E+12,3.12E+14
52100,51200,52100,50600,21808375,1.12E+12,3.11E+14
49900,51400,52000,49900,28772921,1.47E+12,2.98E+14
52300,52100,52800,51500,26976019,1.41E+12,3.12E+14
54300,54500,55100,53200,33815123,1.83E+12,3.24E+14
55400,55100,55900,54900,16742493,9.27E+11,3.31E+14
55500,55800,56500,54400,23998831,1.33E+12,3.31E+14
54900,56400,56500,54700,25634965,1.42E+12,3.28E+14
55500,54400,55900,54000,22743629,1.25E+12,3.31E+14
54600,55800,57000,54600,40220334,2.24E+12,3.26E+14
54500,51800,55000,51700,49257814,2.66E+12,3.25E+14
51400,51000,51500,50800,14247933,7.30E+11,3.07E+14
51200,50800,51200,50600,16949183,8.65E+11,3.06E+14
50700,50000,50700,49700,27596961,1.39E+12,3.03E+14
50400,51100,51200,49900,31309318,1.59E+12,3.01E+14
49900,48950,50000,48800,19548479,9.70E+11,2.98E+14
49250,48700,49450,48600,15127490,7.43E+11,2.94E+14
48850,48750,48900,48450,14337913,6.99E+11,2.92E+14
48750,49600,49800,48600,19706284,9.66E+11,2.91E+14
49950,50300,50400,49850,14949266,7.48E+11,2.98E+14
50000,50000,50200,49800,14896899,7.44E+11,2.98E+14
50300,50100,50500,49700,25168295,1.26E+12,3.00E+14
48800,47950,49100,47600,20481981,9.95E+11,2.91E+14
47850,48400,48450,47700,18463118,8.88E+11,2.86E+14
48000,47750,48100,47650,19305974,9.24E+11,2.87E+14
48550,47250,48550,47200,20223277,9.66E+11,2.90E+14
47900,48400,48500,47550,23433590,1.12E+12,2.86E+14
48400,48900,49250,48300,16357743,7.98E+11,2.89E+14
48800,49100,49350,48800,15319700,7.52E+11,2.91E+14
48800,49200,49300,48700,13884411,6.80E+11,2.91E+14
49200,49000,49200,48500,18070225,8.82E+11,2.94E+14
48500,48900,49100,48500,26083749,1.27E+12,2.90E+14
50000,49900,50500,49600,15604533,7.81E+11,2.98E+14
50100,49850,50100,49300,16095399,8.00E+11,2.99E+14
49850,49350,50000,49100,14049471,6.97E+11,2.98E+14
49350,49650,49750,49000,15618347,7.71E+11,2.95E+14
49850,50200,50300,49500,18754442,9.36E+11,2.98E+14
49850,48700,50000,48350,18613864,9.12E+11,2.98E+14
49250,49400,49700,48700,27407543,1.35E+12,2.94E+14
50100,51400,51400,50000,21866354,1.11E+12,2.99E+14
51400,50800,52000,50300,32041675,1.64E+12,3.07E+14
49000,49350,49350,48550,23349760,1.14E+12,2.93E+14
49000,48800,49200,48300,14206216,6.95E+11,2.93E+14
48300,48650,48900,48300,14431800,7.01E+11,2.88E+14
49250,48950,49250,48650,17839111,8.72E+11,2.94E+14
49100,49750,49800,48700,22628058,1.11E+12,2.93E+14
48600,49600,49750,48600,25010314,1.23E+12,2.90E+14
49600,49650,50200,49000,31524034,1.56E+12,2.96E+14
48700,47500,48800,47250,23395726,1.12E+12,2.91E+14
47000,47400,47600,46550,22784682,1.07E+12,2.81E+14
46800,46200,46850,45350,21621076,9.98E+11,2.79E+14
45800,47450,47900,45800,27259532,1.28E+12,2.73E+14
47750,48000,48500,47150,30654261,1.47E+12,2.85E+14
47850,47050,48350,46550,26797395,1.27E+12,2.86E+14
48300,49600,49700,46850,39896178,1.93E+12,2.88E+14
47800,49000,49300,47700,42185129,2.04E+12,2.85E+14
48650,48950,49600,47150,52735922,2.55E+12,2.90E+14
46950,43850,46950,43050,49801908,2.25E+12,2.80E+14
42500,42600,43550,42400,41701626,1.79E+12,2.54E+14
45400,44150,45500,43550,49730008,2.22E+12,2.71E+14
42950,46400,46650,42300,56925513,2.50E+12,2.56E+14
45600,47750,48350,45600,40152623,1.90E+12,2.72E+14
47300,46900,49650,46700,51218151,2.45E+12,2.82E+14
48900,50100,50900,48800,33339821,1.66E+12,2.92E+14
49950,47450,51600,46850,59462933,2.90E+12,2.98E+14
50800,51000,51900,49300,48149999,2.44E+12,3.03E+14
52100,54300,54400,52000,45707281,2.43E+12,3.11E+14
54600,53800,54900,53700,32106554,1.74E+12,3.26E+14
54200,54700,55000,53600,30261485,1.64E+12,3.24E+14
56500,56500,57200,56200,18716656,1.06E+12,3.37E+14
57800,57600,58000,56700,21698990,1.25E+12,3.45E+14
57400,54800,57600,54600,24765728,1.41E+12,3.43E+14
55400,56700,56900,55100,30330295,1.70E+12,3.31E+14
55000,54300,55500,53600,30403412,1.67E+12,3.28E+14
54200,55000,55500,54200,30054227,1.64E+12,3.24E+14
55900,56300,56900,55500,23209541,1.30E+12,3.34E+14
56500,56000,57000,56000,25483102,1.44E+12,3.37E+14
57900,56200,58000,56200,23885408,1.37E+12,3.46E+14
56800,57400,58100,56800,25627537,1.47E+12,3.39E+14
59200,58800,59800,58500,13777393,8.17E+11,3.53E+14
60000,60700,61300,59600,14591924,8.81E+11,3.58E+14
60200,59800,60400,59400,12951496,7.76E+11,3.59E+14
59800,60800,60900,59700,16674266,1.00E+12,3.57E+14
61500,61600,62000,61200,8740596,5.39E+11,3.67E+14
61800,60900,61900,60200,13276067,8.14E+11,3.69E+14
60700,61200,61600,60500,18449775,1.13E+12,3.62E+14
60500,60300,60700,59700,12904207,7.77E+11,3.61E+14
59900,59800,60700,59700,11071231,6.66E+11,3.58E+14
59700,59200,59800,59100,13107121,7.80E+11,3.56E+14
60400,61100,61200,59700,16402493,9.89E+11,3.61E+14
61100,60100,61100,59700,14727159,8.89E+11,3.65E+14
59500,60000,60200,58900,19278165,1.15E+12,3.55E+14
58900,57100,59000,56800,21800192,1.27E+12,3.52E+14
57200,55500,57400,55200,23995260,1.35E+12,3.41E+14
56400,57800,58400,56400,19749457,1.13E+12,3.37E+14
57200,58800,58800,56800,20821939,1.20E+12,3.41E+14
59100,59100,59700,58800,16446102,9.75E+11,3.53E+14
58800,59400,59400,58300,23664541,1.39E+12,3.51E+14
60800,61800,61800,60700,14916555,9.12E+11,3.63E+14
62300,60500,62600,60400,15339565,9.44E+11,3.72E+14
61400,62000,62400,61200,11142693,6.87E+11,3.67E+14
62400,62000,62800,61700,12528855,7.81E+11,3.73E+14
61300,61900,62000,61000,16025661,9.85E+11,3.66E+14
60700,59100,60700,59000,14381774,8.63E+11,3.62E+14
59000,59500,59600,58900,14300928,8.46E+11,3.52E+14
60000,60400,61000,59900,16906295,1.02E+12,3.58E+14
60000,59600,60000,59100,11359139,6.78E+11,3.58E+14
59500,58800,59700,58300,16000170,9.45E+11,3.55E+14
58600,58400,58600,57400,24102579,1.40E+12,3.50E+14
56800,56200,57400,55900,23501171,1.33E+12,3.39E+14
55800,55700,56400,55600,10009778,5.60E+11,3.33E+14
55500,54900,55600,54600,10278951,5.67E+11,3.31E+14
55500,56000,56600,54900,15422255,8.60E+11,3.31E+14
55200,55500,56000,55000,12993228,7.20E+11,3.30E+14
